,epoches,t_loss,t_acc,v_loss,v_acc
0,1.0,0.7222836606364215,0.682216656230432,0.44854593146350474,0.8247307457833774
1,2.0,0.4616064299470836,0.8207613111793916,0.37598289370343285,0.8536882747409064
2,3.0,0.39606791601202973,0.849412415721338,0.3435680442913012,0.8685226579963422
3,4.0,0.3590798697921292,0.865969623276201,0.33151222044577844,0.8766510871774029
4,5.0,0.3209318431608122,0.8804808434419187,0.3262608952384877,0.8808169071326966
5,6.0,0.2912246310069657,0.8931281035662798,0.332831150755383,0.8781751676488518
6,7.0,0.2422470760628067,0.9123865969623276,0.3314811765857331,0.8823409876041455
7,8.0,0.21568393770723368,0.9227039070349929,0.3428711250617907,0.888030888030888
8,9.0,0.19389027243658885,0.9312664734749749,0.3482622290392975,0.8843730948994107
9,10.0,0.16507802652854747,0.942297330750972,0.37664386305909653,0.882137776874619
10,11.0,0.1468502102464868,0.9495128948173174,0.40023272339399757,0.8824425929689088
