,epoches,t_loss,t_acc,v_loss,v_acc
0,1.0,0.643687676364089,0.7255391650041503,0.4201527586230984,0.8362121520016257
1,2.0,0.43642816378909466,0.8316756709528039,0.35950766092577535,0.8659825238772607
2,3.0,0.3794297826183892,0.8561838330590787,0.34176376176538403,0.8722820564925828
3,4.0,0.3428912751753324,0.8719765257532291,0.33067668386577787,0.8769559032716927
4,5.0,0.3046740544638757,0.8874488503152713,0.3266208769826146,0.8804104856736436
5,6.0,0.2743614668869357,0.8994044065180352,0.3407326200976968,0.8783783783783784
6,7.0,0.22054306759550224,0.9219393921742802,0.3514920841757353,0.8855923592765698
7,8.0,0.19227209980083146,0.9323222320921495,0.36514425617582225,0.8846779109937005
8,9.0,0.15744798116859843,0.9467752035065748,0.3880742569635441,0.8830522251574883
9,10.0,0.1381499810892488,0.9530951930217996,0.4175898218164583,0.882950619792725
